,2_clusters,3_clusters,4_clusters,5_clusters,6_clusters,7_clusters,building_ID
474,0,0,0,2,1,2,0
475,1,2,2,3,4,5,0
476,1,2,1,1,2,2,0
477,0,1,1,2,3,2,0
478,1,1,1,2,2,3,0
479,0,1,1,2,3,2,0
480,1,1,3,3,5,4,0
481,0,1,0,2,3,3,0
482,1,1,2,2,4,4,0
483,0,1,0,2,2,2,0
484,0,1,3,3,2,3,0
485,0,1,3,2,4,4,0
486,1,1,1,2,3,4,0
487,0,0,1,1,2,3,0
488,1,2,2,3,4,5,0
489,0,1,3,2,2,3,0
490,0,1,1,2,3,4,0
491,1,2,2,3,4,4,0
492,0,1,1,3,3,2,0
493,1,1,1,2,2,3,0
494,1,0,2,1,3,1,0
495,0,0,1,0,0,1,0
496,1,2,2,2,2,4,0
497,1,1,2,3,3,4,0
498,1,1,2,3,3,4,0
499,0,1,1,1,1,3,0
500,0,0,1,0,0,1,0
501,0,1,1,3,4,3,0
502,1,1,2,2,1,2,0
503,1,1,2,2,3,4,0
504,1,2,2,2,2,2,0
505,1,1,1,1,2,3,0
506,1,2,3,4,4,5,0
507,1,2,2,3,4,5,0
508,0,1,2,1,3,3,0
509,0,1,2,2,1,2,0
510,0,0,1,0,3,2,0
511,1,2,2,3,4,5,0
512,1,2,2,3,4,5,0
513,0,0,0,1,2,0,0
514,1,1,2,2,2,3,0
515,1,1,1,3,4,4,0
516,1,1,2,3,3,5,0
517,1,2,2,4,3,5,0
518,0,1,0,1,2,2,0
519,1,1,1,1,2,3,0
520,1,2,3,4,2,4,0
521,0,1,0,1,2,2,0
522,0,0,2,2,1,1,0
523,1,2,1,1,2,2,0
524,1,2,2,3,4,5,0
525,0,0,0,0,0,1,0
526,0,1,1,2,3,3,0
527,0,1,1,2,1,2,0
528,1,1,3,3,3,4,0
529,1,2,2,4,5,5,0
530,0,1,1,1,4,4,0
531,0,1,1,2,2,4,0
532,1,2,3,4,4,5,0
533,1,2,2,4,3,5,0
534,1,1,1,3,3,3,0
535,1,2,2,3,3,4,0
536,0,1,1,2,3,3,0
537,0,0,0,0,2,1,0
538,1,1,2,2,3,3,0
539,1,2,2,1,2,4,0
540,1,1,2,3,3,4,0
541,1,2,2,3,3,4,0
542,0,0,0,1,1,1,0
543,1,0,1,3,3,3,0
544,1,1,2,1,2,3,0
545,1,2,3,4,4,5,0
546,0,1,2,2,3,4,0
547,1,1,1,1,2,2,0
548,1,1,2,3,4,5,0
549,1,2,3,4,4,4,0
550,0,2,2,3,3,4,0
551,1,1,2,2,1,4,0
552,1,2,3,4,4,6,0
553,0,0,1,1,1,2,0
554,1,2,2,3,4,5,0
555,1,1,3,3,4,5,0
556,0,1,1,3,1,3,0
557,1,2,1,1,2,2,0
558,0,0,0,0,1,2,0
559,0,2,1,2,3,4,0
560,1,2,3,3,4,4,0
561,1,1,1,3,2,2,0
562,1,1,0,1,2,2,0
563,1,1,2,1,4,4,0
564,0,2,2,3,2,5,0
565,0,0,0,1,0,3,0
566,1,0,1,0,3,2,0
567,1,1,2,3,2,2,0
568,1,2,3,3,4,4,0
569,0,1,2,3,4,5,0
570,1,2,2,2,2,3,0
571,1,2,2,3,4,4,0
572,1,0,2,1,2,1,0
573,1,2,2,3,3,4,0
574,0,0,1,1,1,2,0
575,1,2,2,3,3,3,0
576,0,1,2,3,3,4,0
577,0,0,0,1,2,2,0
578,1,2,2,2,3,4,0
579,1,2,3,3,3,4,0
580,0,0,1,1,0,3,0
581,1,1,2,3,5,6,0
582,0,1,2,3,2,4,0
583,1,2,3,4,5,6,0
584,0,2,2,2,3,4,0
585,0,0,0,0,0,1,0
586,0,0,0,0,1,1,0
587,0,1,1,2,1,2,0
588,0,0,1,2,1,2,0
589,0,1,0,1,1,1,0
590,1,2,3,3,4,3,0
591,1,2,2,2,3,5,0
592,1,2,2,3,3,4,0
593,1,1,1,2,2,3,0
594,1,2,3,4,5,5,0
595,0,0,0,0,0,3,0
596,1,0,3,3,5,3,0
597,0,0,0,0,0,1,0
598,0,1,0,0,1,1,0
599,0,1,2,2,1,1,0
600,0,1,3,3,3,4,0
601,0,0,0,0,2,1,0
602,0,0,1,3,2,3,0
603,0,0,0,1,2,2,0
604,1,2,3,3,3,4,0
605,1,2,2,3,2,2,0
606,1,2,1,2,3,3,0
607,1,1,3,3,4,3,0
608,0,1,2,2,3,4,0
609,0,1,1,2,4,3,0
610,1,1,1,2,3,2,0
611,1,2,2,1,0,1,0
612,0,1,1,2,3,5,0
613,1,1,2,2,1,2,0
614,0,0,0,0,1,2,0
615,1,1,2,1,3,2,0
616,1,2,3,4,5,6,0
617,0,0,3,0,2,3,0
618,1,2,2,3,3,4,0
619,0,1,1,2,2,3,0
620,0,0,1,0,1,2,0
621,0,0,0,1,0,3,0
622,1,2,2,3,4,4,0
623,1,1,1,1,3,3,0
624,1,1,2,2,3,3,0
625,1,2,2,3,5,5,0
626,1,2,2,4,4,5,0
627,1,2,2,4,5,5,0
628,0,0,0,1,1,1,0
629,1,2,2,3,4,5,0
630,1,2,2,3,5,6,0
631,1,2,2,3,3,4,0
632,0,1,1,2,3,3,0
633,1,1,1,1,4,3,0
634,0,1,1,1,4,3,0
635,0,2,2,3,3,4,0
636,1,1,2,2,2,3,0
637,1,1,0,1,2,3,0
638,0,1,0,1,2,4,0
639,0,1,1,1,2,3,0
640,1,2,2,1,2,4,0
641,0,1,2,2,4,3,0
642,1,2,2,2,3,2,0
643,1,1,2,2,1,4,0
644,0,0,1,2,1,1,0
645,0,0,0,1,2,1,0
646,0,0,0,1,3,2,0
647,0,0,1,1,1,1,0
648,1,1,2,2,1,4,0
649,0,1,2,3,3,4,0
650,0,0,1,1,0,2,0
651,0,0,3,0,3,4,0
652,0,1,2,2,3,5,0
653,1,2,3,4,3,4,0
654,0,1,1,1,3,4,0
655,0,1,3,3,3,4,0
656,0,1,1,1,2,4,0
657,1,2,2,3,4,4,0
658,1,2,3,4,4,5,0
659,0,0,0,1,1,1,0
660,1,2,3,3,4,5,0
661,1,1,2,2,4,3,0
662,0,0,0,0,2,0,0
663,1,2,2,4,5,5,0
664,0,0,0,0,0,3,0
665,0,1,1,2,3,4,0
666,0,1,1,1,1,1,0
667,0,2,2,2,1,4,0
668,0,0,0,0,2,1,0
669,0,0,0,1,2,2,0
670,0,1,3,3,3,4,0
671,0,1,2,2,4,3,0
672,1,2,3,4,5,5,0
673,1,2,1,2,4,4,0
674,0,2,2,3,3,4,0
675,1,1,3,3,5,6,0
676,0,1,3,2,4,4,0
677,1,1,2,2,2,4,0
678,0,1,1,2,1,2,0
679,0,0,2,1,2,2,0
680,1,2,3,4,5,5,0
681,0,1,3,2,2,3,0
682,0,1,1,2,4,4,0
683,0,0,0,0,2,0,0
684,1,2,1,3,4,4,0
685,0,0,2,2,3,4,0
686,0,1,1,2,1,2,0
687,0,1,2,3,2,4,0
688,1,2,3,4,5,6,0
689,1,1,3,3,4,3,0
690,0,1,2,2,3,3,0
691,1,2,3,3,3,4,0
692,1,2,3,4,5,5,0
693,1,0,0,1,1,3,0
694,0,0,0,0,0,0,0
695,0,0,1,2,4,3,0
696,0,1,0,2,1,2,0
697,0,0,2,2,3,2,0
698,0,0,2,1,0,3,0
699,1,1,1,2,2,2,0
700,0,0,1,0,0,1,0
701,1,1,1,1,3,2,0
702,0,1,0,1,1,1,0
703,1,0,1,2,3,3,0
704,0,0,0,1,2,3,0
705,1,2,3,4,5,6,0
706,1,2,2,3,3,5,0
707,1,0,1,1,0,2,0
708,1,2,2,2,2,4,0
709,1,2,3,3,2,4,0
710,1,1,2,1,3,2,0
711,0,0,1,3,3,1,0
712,1,2,3,2,2,3,0
713,1,2,3,4,5,6,0
714,1,0,1,1,0,2,0
715,1,2,2,1,2,3,0
716,0,1,1,2,2,3,0
717,0,0,0,0,3,2,0
718,1,2,3,4,4,4,0
719,0,2,3,3,4,5,0
720,1,0,2,1,1,3,0
721,0,0,1,2,3,2,0
722,0,0,1,2,1,4,0
723,0,1,0,1,1,3,0
724,0,0,0,2,1,1,0
725,0,0,0,1,0,1,0
726,0,0,1,1,1,2,0
727,1,1,2,2,4,3,0
728,0,1,3,3,3,4,0
729,0,0,1,1,0,1,0
730,0,0,0,1,1,3,0
731,0,1,1,2,4,4,0
732,1,1,2,1,1,1,1
733,0,1,2,3,3,4,1
734,1,2,3,4,4,6,1
735,0,1,1,1,1,3,1
736,0,0,1,1,1,2,1
737,1,1,2,2,3,2,1
738,1,2,2,1,4,3,1
739,0,1,1,2,2,3,1
740,1,2,2,3,2,3,1
741,0,0,0,1,1,1,1
742,0,0,0,0,2,2,1
743,1,2,3,4,5,5,1
